asset_id,new_no,no_pc,Equipment_details,type_equipment,project,spec,ssd,ram,gpu,monitor1,brand_1,monitor2,brand_2,yfm_1,How_long,Service_life,update
751,,4391-64-018,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
752,,4391-64-019,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
753,,4390-CCTV-003,เครื่องบันทึก IP,NVR,,,,,,,,,,,,,
754,,4391-CCTV-032,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
755,,4391-CCTV-035,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
756,,4391-CCTV-038,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
757,,4391-62-029,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
758,,4390-62-006,เครื่องบันทึก NVR 8MP 8ch PoE 8,NVR,,,,,,,,,,,,,
759,,4391-61-050,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
760,,4391-61-055,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
761,,4391-62-031,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
762,,4391-62-034,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
763,,4391-61-060,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
764,,4391-61-070,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
765,,4391-61-071,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
766,,4390-61-011,เครื่องบันทึก IP 8 Chanel + POE,NVR,,,,,,,,,,,,,
767,,4391-61-059,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
768,,4391-61-068,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
769,,4391-62-025,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
770,,4391-64-003,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
771,,4391-61-043,กล้อง CCTV IP Dome,CCTV,,,,,,,,,,,,,
772,,4391-64-002,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
773,,CIP-VSP-003,,CCTV,,,,,,,,,,,,,
774,,CIP-VSP-014,,CCTV,,,,,,,,,,,,,
775,,CIP-VSP-015,,CCTV,,,,,,,,,,,,,
776,,CIP-VSP-016,,CCTV,,,,,,,,,,,,,
777,,4390-64-001,เครื่องบันทึก Hikvision DS-7108NI-Q1/8p/m,NVR,,,,,,,,,,,,,
778,,4391-62-024,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
779,,4391-62-028,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
780,,4390-60-006,เครื่องบันทึก IP,NVR,,,,,,,,,,,,,
781,,4391-59-001,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
782,,4391-59-002,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
783,,4391-59-004,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
784,,4391-CCTV-025,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
785,,4391-CCTV-026,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
786,,4391-CCTV-033,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
787,,4390-61-013,เครื่องบันทึก IP 8 Chanel + POE,NVR,,,,,,,,,,,,,
788,,4391-61-056,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
789,,4391-61-064,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
790,,4391-61-066,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
791,,4391-61-072,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
792,,4391-62-007,กล้อง 2MP IR Fixed Network Bullet Camera,CCTV,,,,,,,,,,,,,
793,,4391-62-013,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
794,,4391-62-020,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
795,,4390-60-001,เครื่องบันทึก ตึกใหม่,NVR,,,,,,,,,,,,,
796,,4390-63-001,เครื่องบันทึก DVR 8CH. HDCVI WATASHI WVR067A,NVR,,,,,,,,,,,,,
797,,4391-59-003,กล้อง CCTV,CCTV,,,,,,,,,,,,,
798,,4391-59-005,กล้อง CCTV ตึกเก่า,CCTV,,,,,,,,,,,,,
799,,4391-59-006,กล้อง CCTV ตึกเก่า,CCTV,,,,,,,,,,,,,
800,,4391-60-001,กล้อง CCTV ตึกใหม่,CCTV,,,,,,,,,,,,,
801,,4391-60-002,กล้อง CCTV ตึกใหม่,CCTV,,,,,,,,,,,,,
802,,4391-60-003,กล้อง CCTV ตึกใหม่,CCTV,,,,,,,,,,,,,
803,,4391-60-004,กล้อง CCTV ตึกใหม่,CCTV,,,,,,,,,,,,,
804,,4391-60-005,กล้อง CCTV ตึกใหม่,CCTV,,,,,,,,,,,,,
805,,4391-60-006,กล้อง CCTV ตึกใหม่,CCTV,,,,,,,,,,,,,
806,,4391-60-007,กล้อง CCTV ตึกใหม่,CCTV,,,,,,,,,,,,,
807,,4391-60-008,กล้อง CCTV ตึกใหม่,CCTV,,,,,,,,,,,,,
808,,4391-60-010,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
809,,4391-60-016,กล้อง CCTV ตึกเก่า,CCTV,,,,,,,,,,,,,
810,,4391-60-017,กล้อง CCTV ตึกเก่า,CCTV,,,,,,,,,,,,,
811,,4391-60-020,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
812,,4391-60-021,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
813,,4391-60-023,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
814,,4391-60-024,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
815,,4391-60-028,กล้อง CCTV analog,CCTV,,,,,,,,,,,,,
816,,4391-60-029,กล้อง CCTV analog,CCTV,,,,,,,,,,,,,
817,,4391-60-030,กล้อง CCTV analog,CCTV,,,,,,,,,,,,,
818,,4391-60-033,กล้อง CCTV analog,CCTV,,,,,,,,,,,,,
819,,4391-60-036,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
820,,4391-60-037,กล้อง CCTV Analog,CCTV,,,,,,,,,,,,,
821,,4391-CCTV-006,กล้อง CCTV,CCTV,,,,,,,,,,,,,
822,,4391-CCTV-009,กล้อง CCTV analog,CCTV,,,,,,,,,,,,,
823,,4391-CCTV-015,กล้อง CCTV,CCTV,,,,,,,,,,,,,
824,,4391-CCTV-018,กล้อง CCTV,CCTV,,,,,,,,,,,,,
825,,4391-CCTV-020,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
826,,4391-CCTV-030,กล้อง CCTV,CCTV,,,,,,,,,,,,,
827,,4391-61-044,กล้อง CCTV IP Dome,CCTV,,,,,,,,,,,,,
828,,4391-61-046,กล้อง CCTV IP Dome,CCTV,,,,,,,,,,,,,
829,,4391-61-047,กล้อง CCTV IP Dome,CCTV,,,,,,,,,,,,,
830,,4391-61-048,กล้อง CCTV IP Dome,CCTV,,,,,,,,,,,,,
831,,4390-62-008,เครื่องบันทึก NVR 8MP 8ch PoE 8,NVR,,,,,,,,,,,,,
832,,4391-62-016,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
833,,4391-62-018,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
834,,4391-62-019,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
835,,4391-62-037,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
836,,4391-61-067,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
837,,4391-61-069,กล้อง CCTV IP,CCTV,,,,,,,,,,,,,
838,,4390-65-001,เครื่องบันทึก DVR 8CH. HDCVI WATASHI WVR067A,CCTV,,,,,,,,,,,,,
839,,4390-66-001,,CCTV,,,,,,,,,,,,,
840,,4390-66-003,,CCTV,,,,,,,,,,,,,
841,,4390-68-001,เครื่องบันทึก DS-7608NXI-K2/8P Hikvision Acusense NVR 8ช่อง 8PoE 2SATA 8 ช่อง 8PoE 2SATA,CCTV,,,,,,,,,,,,,
842,,4391-61-045,กล้อง CCTV IP Dome,CCTV,,,,,,,,,,,,,
843,,4391-62-002,กล้อง 2MP IR Fixed Network Bullet Camera,CCTV,,,,,,,,,,,,,
844,,4391-62-012,กล้อง 2MP Mini Bullet,CCTV,,,,,,,,,,,,,
845,,4391-64-010,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
846,,4391-64-014,กล้อง Hikvision IPC 2MP DS-2CD1027G0-L,CCTV,,,,,,,,,,,,,
847,,4391-68-001,กล้องวงจรปิด DS-2CD2T46G2-2I 4mm Hikvision Acusense IPC 4MP PoE,CCTV,,,,,,,,,,,,,
848,,4391-68-002,กล้องวงจรปิด DS-2CD2T46G2-2I 4mm Hikvision Acusense IPC 4MP PoE,CCTV,,,,,,,,,,,,,
849,,4391-68-003,กล้องวงจรปิด DS-2CD2955G0-ISU Hikvision Fisheye 5MP PoE,CCTV,,,,,,,,,,,,,
850,,4391-68-004,กล้องวงจรปิดDS-2DE2A404IW-DE3/W (Adapterในตัว) Hikvision PTZ IPC 4MP PoE (Wi-Fi),CCTV,,,,,,,,,,,,,
851,,CIP-VSP-002,,CCTV,,,,,,,,,,,,,
852,,CIP-VSP-004,,CCTV,,,,,,,,,,,,,
853,,CIP-VSP-005,,CCTV,,,,,,,,,,,,,
854,,CIP-VSP-012,,CCTV,,,,,,,,,,,,,
855,,CIP-VSP-013,,CCTV,,,,,,,,,,,,,
856,,CIP-VSP-017,,CCTV,,,,,,,,,,,,,
857,,CIP-VSP-018,,CCTV,,,,,,,,,,,,,
858,,CIP-VSP-019,,CCTV,,,,,,,,,,,,,
859,,CIP-VSP-020,,CCTV,,,,,,,,,,,,,
860,,CIP-VSP-021,,CCTV,,,,,,,,,,,,,
861,,CIP-VSP-022,,CCTV,,,,,,,,,,,,,
862,,CIP-VSP-68-001,,CCTV,,,,,,,,,,,,,
863,,CIP-VSP-68-002,,CCTV,,,,,,,,,,,,,
864,,CIP-VSP-68-003,,CCTV,,,,,,,,,,,,,
865,,CIP-VSP-68-004,,CCTV,,,,,,,,,,,,,
866,,CIP-VSP-68-005,,CCTV,,,,,,,,,,,,,
867,,CIP-VSP-68-006,,CCTV,,,,,,,,,,,,,
868,,4390-69-001,เครื่องบันทึก DS-7608NXI-K2/8P Hikvision Acusense NVR 8ช่อง 8PoE 2SATA,CCTV,,,,,,,,,,,,,
869,,4391-69-001,กล้องวงจรปิด DS-2CD1023G2-LIUF/SL (4.0mm) Hikvision Smart Hybrid Light IPC 2MP PoE (โต้ตอบ),CCTV,,,,,,,,,,,,,
870,,4391-69-002,กล้องวงจรปิด DS-2CD1023G2-LIUF/SL (4.0mm) Hikvision Smart Hybrid Light IPC 2MP PoE (โต้ตอบ),CCTV,,,,,,,,,,,,,
871,,4391-69-003,กล้องวงจรปิด DS-2CD1023G2-LIUF/SL (4.0mm) Hikvision Smart Hybrid Light IPC 2MP PoE (โต้ตอบ),CCTV,,,,,,,,,,,,,
872,,4391-69-004,กล้องวงจรปิด DS-2CD1023G2-LIUF/SL (4.0mm) Hikvision Smart Hybrid Light IPC 2MP PoE (โต้ตอบ),CCTV,,,,,,,,,,,,,
873,,4391-69-005,กล้องวงจรปิด DS-2CD1023G2-LIUF/SL (4.0mm) Hikvision Smart Hybrid Light IPC 2MP PoE (โต้ตอบ),CCTV,,,,,,,,,,,,,
874,,4391-69-006,กล้องวงจรปิด DS-2CD1023G2-LIUF/SL (4.0mm) Hikvision Smart Hybrid Light IPC 2MP PoE (โต้ตอบ),CCTV,,,,,,,,,,,,,
875,,4391-69-007,กล้องวงจรปิด DS-2CD1023G2-LIUF/SL (4.0mm) Hikvision Smart Hybrid Light IPC 2MP PoE (โต้ตอบ),CCTV,,,,,,,,,,,,,
876,,4391-69-008,กล้องวงจรปิด DS-2CD1023G2-LIUF/SL (4.0mm) Hikvision Smart Hybrid Light IPC 2MP PoE (โต้ตอบ),CCTV,,,,,,,,,,,,,
