asset_id,new_no,no_pc,Equipment_details,type_equipment,project,spec,ssd,ram,gpu,monitor1,brand_1,monitor2,brand_2,yfm_1,How_long,Service_life,update
94,AIO-0009,AIO-0009,Notebook Asus K550JK-XX027D (S/N E8N0CY387467658),Notebook,,,,,,,,,,,,,
95,430258GNAS002,AIO-0010,Notebook Asus K550JK-XX027D (S/N E8N0CY387467658),Notebook,,,,,,,,,,,,,
96,430258GNLV003,AIO-0011,Notebook Lenovo G4070-59438305(Black),Notebook,,,,,,,,,,,,,
97,430258GNAS005,AIO-0017,3SA-WX061D Asus NB ZX453SA-WX061D) ,Notebook,,,,,,,,,,,,,
98,430259GNAS007,AIO-0019,Asus X452MJ-WX021D Black,Notebook,,,,,,,,,,,,,
99,430259GNAS009,AIO-0021,Asus X452MJ-WX021D (Black),Notebook,,,,,,,,,,,,,
100,430259GNAS011,AIO-0023,Notebook Asus K455LF-WX130D (Black),Notebook,,,,,,,,,,,,,
101,430259GNHP012,AIO-0024,Notebook HP 15-ac674TX  สเปคกราฟฟิก ,Notebook,,,,,,,,,,,,,
102,430259GPLV013,AIO-0025,Notebook Lenovo 310 80SL001TTA Black,Notebook,,,,,,,,,,,,,
103,430260GPHP015,AIO-0027,Notebook HP 15-ay190TX (15.6) Black,Notebook,,,,,,,,,,,,,
104,430260GNDE016,AIO-0028,"Notebook Dell N3567-W5651120RTH (15.6"") Black",Notebook,,,,,,,,,,,,,
105,430261GPHP017,AIO-0029,"Notebook HP Pavilion 15-cb037TX (15.6"") Black",Notebook,,,,,,,,,,,,,
106,430262GPAS018,AIO-0030,Notebook Asus UX410UF-GV075T (14) Guatr Gray,Notebook,,,,,,,,,,,,,
107,430262GPLV019,AIO-0031,Notebook Lenovo 330-81FK003JTA (15.6) Black,Notebook,,,,,,,,,,,,,
108,430762GPAC032,AIO-0032,(AIO) Acer Aspire C22-866-8254G1T21MGi/T003,All_In_One,,,,,,,,,,,,,
109,430762GPAC033,AIO-0033,(AIO) Acer Aspire C22-866-8254G1T21MGi/T003,All_In_One,,,,,,,,,,,,,
110,430262GPHP036,AIO-0036,"N/B game HP Omen gaming 15-dc1026tx (15.6) Black 5CD90803TW,5CD9083FK7",Notebook,,,,,,,,,,,,,
111,430262GPAS036,AIO-0037,N/B Asus S430FN-EB053T (14) Silver Blue-Yellow JCN0CX020684499,Notebook,,,,,,,,,,,,,
112,430262GPAS037,AIO-0038,N/B Asus A570ZD-DM326T (15.6) Black-Plastic,Notebook,,,,,,,,,,,,,
113,430262GPMS039,AIO-0039,Microsoft Tablet New Surface Pro6 i7/8/256(KJU-00013),Notebook,,,,,,,,,,,,,
114,430262GPAS040,AIO-0040,N/B Asus A570ZD-DM411T (15.6) Black-Plastic,Notebook,,,,,,,,,,,,,
115,430264GPXP001,AIO-0041,N/B HP 15s-du3011TX,Notebook,,,,,,,,,,,,,
116,430264GPAC002,AIO-0042,Notebook Acer Nitro AN515-55-52HQ/T005 (Black,Notebook,,,,,,,,,,,,,
117,430264GPAC004,AIO-0044,Notebook Acer Nitro AN515-55-52HQ/T005 (Black,Notebook,,,,,,,,,,,,,
118,430264GPLN007,AIO-0047,N/Bgame Lenovo IP 3 15ARH05 82EY006WTA (15.6) Phantom Black,Notebook,,,,,,,,,,,,,
119,430264GPMSI008,AIO-0048,N/Bgame MSI Bravo 15 A4DDR-412TH(15.6),Notebook,,,,,,,,,,,,,
120,430264GPMSI009,AIO-0049,N/Bgame MSI Bravo 15 A4DDR-412TH(15.6),Notebook,,,,,,,,,,,,,
121,430264GPHP010,AIO-0050,N/B HP 15s-eq2067AU (15.6) (461J6PA#AKL),Notebook,,,,,,,,,,,,,
122,430264GPHP013,AIO-0053,HP Pavilion 15-eh1082AU,Notebook,,,,,,,,,,,,,
123,430265GPLN 001,AIO-0054,N/B Lenovo IP 5 15IAL7 82SF001CTA (15.6) Storm Grey,Notebook,,,,,,,,,,,,,
124,,,HP OMEN,Notebook,,,,,,,,,,,,,
125,430268GPHP001,AIO-0057,Notebook HP Victus 15-fa2713TX (Mica Silver),Notebook,,,,,,,,,,,,,
126,430268GPLN002,AIO-0058,N/Bgame Lenovo LOQ 15IRX9 83DV01A0TA (15.6) Luna Grey,Notebook,,,,,,,,,,,,,
127,430268GPLN003,AIO-0059,N/Bgame Lenovo LOQ 15IRX9 83DV01A0TA (15.6) Luna Grey,Notebook,,,,,,,,,,,,,
128,430268GPLN005,AIO-0061,N/Bgame Lenovo LOQ 15IRX9 83DV01A0TA (15.6) Luna Grey,Notebook,,,,,,,,,,,,,
129,430155GPHP001,CA-0001,Computer HP P6-2182L,Notebook,,,,,,,,,,,,,
130,430155GNHP002,CA-0002,Computer HP Pavilion P6-2170L ,PC,,,,,,,,,,,,,
131,,CA-0003,,PC,,,,,,,,,,,,,
132,430155GNHP004,CA-0004,Computer HP Pavilion P6-2170L ,PC,,,,,,,,,,,,,
133,430155GPHP006,CA-0006,Computer HP Pavilion P6-2182L,PC,,,,,,,,,,,,,
134,CA-0007,CA-0007,Computer HP Pavilion P6-2182L,PC,,,,,,,,,,,,,
135,430155GPHP008,CA-0008,Computer HP P6-2182L,PC,,,,,,,,,,,,,
136,430155GPHP009,CA-0009,Computer HP P6-2182L ,PC,,,,,,,,,,,,,
137,430155GPHP010,CA-0010,Computer HP P6-2182L ,PC,,,,,,,,,,,,,
138,430156GPHP011,CA-0011,HP Envy HPE h8-1433L,PC,,,,,,,,,,,,,
139,430156GNCC012,CA-0013,HP Pavilion p6-2361L ,PC,,,,,,,,,,,,,
140,430156GPHP015,CA-0016,HP Pavilion  P6-2394L Intel core i3 -3220,PC,,,,,,,,,,,,,
141,430156GPHP016,CA-0018,HP Pavilion P6-23921 PC,PC,,,,,,,,,,,,,
142,430156GNHP021,CA-0023,HP-PAVILION P6-2262I,PC,,,,,,,,,,,,,
143,430152GNHP023,CA-0027,HP  CQ-3170L ,PC,,,,,,,,,,,,,
144,430152GPHP025,CA-0030,HP Pavilion P6275L,PC,,,,,,,,,,,,,
145,430152GPHP027,CA-0034,HP Pavilion P627L,PC,,,,,,,,,,,,,
146,430156GNIB028,CA-0035,Computer IBM Server (Server-pojjaman),PC,,,,,,,,,,,,,
147,430155GNHP032,CA-0039,HP Pavilion p6-2262L,PC,,,,,,,,,,,,,
148,CA-0050,CA-0050,Dell Vostro 460,PC,,,,,,,,,,,,,
149,430155GPDE033,CA-0051,Dell Vostro 460,PC,,,,,,,,,,,,,
150,430155GPHP035,CA-0053,HP Pavition P6-2182L,PC,,,,,,,,,,,,,
151,430155GPHP037,CA-0055,HP Pavilion P6-2182L ,PC,,,,,,,,,,,,,
152,430155GPHP038,CA-0056,HP Pavilion P6-2182L,PC,,,,,,,,,,,,,
153,430155GPHP039,CA-0057,HP Pavilion P6-2182L,PC,,,,,,,,,,,,,
154,430155GPHP040,CA-0059,HP Pavilion P6-2182L ,PC,,,,,,,,,,,,,
155,430155GPHP190,CA-0060,HP Pavilion P6-2182L,PC,,,,,,,,,,,,,
156,430155GPHP045,CA-0066,HP Pavilion P6-2182L,PC,,,,,,,,,,,,,
157,CA-0070,CA-0070,Comp. คอมสั่งประกอบ ใช้งานกราฟฟิก,PC,,,,,,,,,,,,,
158,430154GPHP050,CA-0074,HP Pavilion P6775 L,PC,,,,,,,,,,,,,
159,430154GPHP051,CA-0075,HP Pavilion P6776 L,PC,,,,,,,,,,,,,
160,430154GNCQ053,CA-0078,Computer คอมแพ็ค Cq 3570L,PC,,,,,,,,,,,,,
161,CA-0080,CA-0080,HP Pavilion P7-1022L ,PC,,,,,,,,,,,,,
162,430156GNHP055,CA-0081,HP Pavilion P2-141L,PC,,,,,,,,,,,,,
163,430155GPHP057,CA-0084,HP Pavilion P62182L,PC,,,,,,,,,,,,,
164,430155GPHP058,CA-0085,HP Pavilion P62182L,PC,,,,,,,,,,,,,
165,430156GPHP059,CA-0087,HP Pavilion P6075L,PC,,,,,,,,,,,,,
166,430156GPHP062,CA-0095,HP Pro 2000 MT,PC,,,,,,,,,,,,,
167,430156GPCC064,CA-0097,Case DMA,PC,,,,,,,,,,,,,
168,430156GPHP066,CA-0099,HP pavilion P6-23621L ,PC,,,,,,,,,,,,,
169,430156GPDE068,CA-0103,Dell model no vostro ,PC,,,,,,,,,,,,,
170,430156GPHP069,CA-0107,Hp Pavilion PQ30751L,PC,,,,,,,,,,,,,
171,430156GPLV070,CA-0108,Case Lenovol 3AY731,PC,,,,,,,,,,,,,
172,430156GPHP072,CA-0114,HP Pavilion P6183L,PC,,,,,,,,,,,,,
173,430156GPHP073,CA-0117,HP pavilion 1265L,PC,,,,,,,,,,,,,
174,430156GPHP075,CA-0119,HP pavilion G3585L,PC,,,,,,,,,,,,,
175,430156GPHP077,CA-0122,HP Pavilion G3172L,PC,,,,,,,,,,,,,
176,430156GPCQ078,CA-0124,HP Compaq dx2310MT,PC,,,,,,,,,,,,,
177,430156GPHP081,CA-0127,HP Pavilion A6775L,PC,,,,,,,,,,,,,
178,430156GPHP082,CA-0128,HP Pavilion A6775L,PC,,,,,,,,,,,,,
179,430156GPHP084,CA-0130,HP Pavilion P6075L,PC,,,,,,,,,,,,,
180,430156GPHP085,CA-0131,HP Pavilion G3082L,PC,,,,,,,,,,,,,
181,430156GPHP087,CA-0134,HP Pavilion P3685L,PC,,,,,,,,,,,,,
182,430156GPHP088,CA-0135,HP Pavilion P7-1022L,PC,,,,,,,,,,,,,
183,430156SVIB089,CA-0136,Computer IBM Server (Server HR),PC,,,,,,,,,,,,,
184,430156GPHP092,CA-0139,HP Pavilion P6275L,PC,,,,,,,,,,,,,
185,CA-0140,CA-0140,HP Pavilion 110-013l (H6L69AA#AKL),PC,,,,,,,,,,,,,
186,430156GNHP093,CA-0141,Computer HP pavlion P6-2182I,PC,,,,,,,,,,,,,
187,430156GNAC095,CA-0143,Computer Acer Aspire m1930 ,PC,,,,,,,,,,,,,
188,430156GNCC098,CA-0146,Computor Digital (คอมประกอบ),PC,,,,,,,,,,,,,
189,430156GNAS099,CA-0147,Computer Asus PC A2-M11A-TH003D,PC,,,,,,,,,,,,,
190,430156GNAS101,CA-0149,Computer Asus PC A2-M11A-TH003D,PC,,,,,,,,,,,,,
191,430156GNHP102,CA-0150,computer HP Pavilion 110-113L,PC,,,,,,,,,,,,,
192,430155GPHP104,CA-0153,HP Pavilion P6-2182i,PC,,,,,,,,,,,,,
193,430155GPHP106,CA-0155,HP Pavilion P6-2392L,PC,,,,,,,,,,,,,
194,430157GPAS110,CA-0159,ASUS PC A2- M11AA-TH003D,PC,,,,,,,,,,,,,
195,430158GNHP114,CA-0163, HP Pavilion 500-301x (F7G66AA#AKL),PC,,,,,,,,,,,,,
196,430158GPHP115,CA-0164,HP Pavilion 500-551x (K5M77AA#AKL),PC,,,,,,,,,,,,,
197,430158GPHP117,CA-0166,HP Pavilion 500-551x (K5M77AA#AKL),PC,,,,,,,,,,,,,
198,430158GPHP118,CA-0167,HP Pavilion 500-551x (K5M77AA#AKL),PC,,,,,,,,,,,,,
199,430158GPHP119,CA-0168,HP Pavilion 500-551x (K5M77AA#AKL),PC,,,,,,,,,,,,,
200,430158GNCC121,CA-0170,COLORS VIEW (คอมประกอบขึ้นมาใหม่),PC,,,,,,,,,,,,,
201,430158GNCC122,CA-0171,COLORS VIEW (คอมประกอบขึ้นมาใหม่),PC,,,,,,,,,,,,,
202,430158GNCC125,CA-0174,IRON Computer Case (คอมประกอบหน้ากากสีเหลือง),PC,,,,,,,,,,,,,
203,430158GNCC126,CA-0175,IRON Computer Case (คอมประกอบหน้ากากสีน้ำเงิน) ,PC,,,,,,,,,,,,,
204,430158GPHP127,CA-0176,HP Pavilion 550-013l (หน้ากากสี่ขาว),PC,,,,,,,,,,,,,
205,430158GPLV132,CA-0181,LENOVO IdeaCentre H5050 (90B7003UTA) ,PC,,,,,,,,,,,,,
206,430158GPLV133,CA-0182,LENOVO Idea Center H5050 (90B7003UTA),PC,,,,,,,,,,,,,
207,430158GPLV134,CA-0183,Lenovo Idea center H50-50 i5 (90B7000WTA),PC,,,,,,,,,,,,,
208,430158GPLV137,CA-0186, Lenovo IdeaCentra H5050 (90B7000WTA),PC,,,,,,,,,,,,,
209,430158GPLV138,CA-0187, Lenovo IdeaCentra H5050 (90B7000WTA),PC,,,,,,,,,,,,,
210,430158GPLV139,CA-0188, Lenovo IdeaCentra H5050 (90B700FYTA),PC,,,,,,,,,,,,,
211,430158GPLV140,CA-0189, Lenovo IdeaCentra H5050 (90B700FYTA),PC,,,,,,,,,,,,,
212,430158GNLV142,CA-0191,LENOVO idea Cantre H5050 (90B7003RTA),PC,,,,,,,,,,,,,
213,430159GNLV146,CA-0195,LENOVO IdeaCenter H5050 (90B700D2TA),PC,,,,,,,,,,,,,
214,430159GNLV147,CA-0196,LENOVO IdeaCenter H5050 (90B700D2TA),PC,,,,,,,,,,,,,
215,430159GNLV148,CA-0197,LENOVO IdeaCenter H5050 (90B700D2TA),PC,,,,,,,,,,,,,
216,430159GPCC149,CA-0198,Comp. คอมสั่งประกอบ ใช้งานกราฟฟิก,PC,,,,,,,,,,,,,
217,430159GPCC151,CA-0200,Comp. คอมสั่งประกอบ ใช้งานกราฟฟิก,PC,,,,,,,,,,,,,
218,430159GPCC152,CA-0201,Comp. คอมสั่งประกอบ ใช้งานกราฟฟิก,PC,,,,,,,,,,,,,
